"pg_page_id","pg_ref_number","pg_ground_truth_file","pg_work_id","pg_gale_text_file"
2176998,1,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/1.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00010.txt"
2176999,2,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/2.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00020.txt"
2177000,3,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/3.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00030.txt"
2177001,4,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/4.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00040.txt"
2177002,5,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/5.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00050.txt"
2177003,6,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/6.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00060.txt"
2177004,7,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/7.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00070.txt"
2177005,8,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/8.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00080.txt"
2177006,9,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/9.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00090.txt"
2177007,10,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/10.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00100.txt"
2177008,11,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/11.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00110.txt"
2177009,12,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/12.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00120.txt"
2177010,13,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/13.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00130.txt"
2177011,14,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/14.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00140.txt"
2177012,15,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/15.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00150.txt"
2177013,16,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/16.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00160.txt"
2177014,17,"data/shared/text-xml/ECCO-TCP-pages-text/ECCO_2of2/LitAndLang_2/0331501100/17.txt",151311,"data/shared/text-xml/ECCO-Gale-page-OCR/0331501100/00170.txt"
